Adelaide St,Bathurst St to Parliament St,"December 3, 2012 to December 10, 2012","Night CL increased and offsets adjusted on March 12, 2013 for some intersections"
Richmond St,Parliament St to Bathurst St,"December 6, 2012 ","Night CL increased and offsets adjusted on March 12, 2013 for some intersections"
Bloor St,Markland Dr to Bedford Rd,"November 22, 2012 to November 26, 2012",
Kennedy Rd,Steeles Ave E to Eglinton Ave E,"November 9, 2012 to March 26, 2013","Changes for Kennedy Coordination in Synchro on March 26, 2013 for some intersections"
Weston Rd,Steeles Ave W to St Clair Ave,"October 17, 2013 to October 23, 2013","Night plan offset adjusted on January 7, 2014 for some intersections"
Keele St,St Clair Ave to Bloor St W,"October 17, 2013","Night plan offset adjusted on January 21, 2014 for some intersections"
Parkside Dr ,Bloor St W to Spring Rd,"October 17, 2013",
Lawrence Ave East,Leslie St to Kingston Rd,"November 18, 2013 to November 22, 2013","CL and split adjusted on January 17, 2014 for some intersections"
Victoria Park,Steeles Ave E to Kingston Rd,"November 20, 2013 to November 25, 2013","New Night Plan and Weekend plan implemented on February 20, 2014 for some intersections"
Lawrence Ave West,Royal York to 135m West of Bayview Ave,"November 8, 2013",
Kingston Rd,Morningside Ave to Birchmount Rd,"June 7, 2013","CL, splits and offsets adjusted and implemented on October 30, 2013 for some intersections"
Highway 27,Steeles Ave W to Belfield Rd,"October 29, 2013 to November 1, 2013",
Sheppard Ave W,Weston Rd to Shaughnessy Blvd,"August 11, 2014 to August 21, 2014",
Sheppard Ave E,Herons Hill Way to Kingston Rd/Port Union Rd,"July 18, 2014 to July 23, 2014 ","CL, splits and offsets implemented on August 11, 2014 for some intersections"
Yonge St,Yonge Blvd to Front St,"September 5, 2014 to September 15, 2014",
Markham Rd,Steeles Ave to Kingston Rd,"July 22, 2014 to July 28, 2014",
Islington Ave,Steeles Ave W to Lake Shore Blvd W,"August 1, 2014 to August 7, 2014",
O'Connor Dr / Broadview Ave,Sunrise Ave to Eastern Ave,"September 22, 2014 to September 30, 2014",
Leslie St,Steeles Ave E to Eglinton Ave E,"September 19, 2014 to September 22, 2014","AM, PM, OFF and night CL and offset changed and implemented on April 21, 2105 for TCS2219 and TCS2248"
Bathurst St,Steeles Ave W to Fort York Blvd,"February 23, 2016 to March 4, 2016",
McCowan Rd,Steeles Ave E to Lawrence Ave E,"December 7, 2015 to December 8, 2015",
Dundas St W / Dundas St E,Keele St to Kingston Rd,"December 14, 2015 to December 23, 2015",
Lakeshore Blvd E / Woodbine Ave,Coxwell Ave to O'Connor Dr,"January 22, 2016",
Danforth Ave,Broadview Ave to Birchmount Park Collegiate,"December 15, 2015 to December 21, 2015",
Warden Ave,Steeles Ave W to Kingston Rd,"December 11, 2015 to December 17, 2015",
Kipling Ave,Steeles Ave W to Lake Shore Blvd W,"January 5, 2016 to January 8, 2016",
Steeles Ave W,Centrepoint Mall to Albion Rd,"February 17, 2016 to February 19, 2016","Night and Weekend Plans Programmed on March 9, 2016"
Steeles Ave E,Old Kennedy Rd / Silver Star Blvd to Pickering Town Line,"March 29, 2016 to March 30, 2016",
Wellington St,Blue Jays Way to Church St,"June 12, 2015",
Front St,Blue Jays Way to Simcoe St,"December 22, 2015",
